id,fecha,id_sub
6368,2021-06-08,1
6369,2021-07-08,1
6370,2021-08-08,1
6371,2023-09-08,1
6376,2020-09-27,2
6377,2020-10-27,2
6378,2020-11-27,2
6379,2020-12-27,2
6380,2021-01-27,2
6381,2021-02-27,2
6382,2021-03-27,2
6383,2021-04-27,2
6372,2021-05-27,2
6384,2021-06-27,2
6373,2021-07-27,2
6385,2021-08-27,2
6374,2021-09-27,2
6386,2021-10-27,2
6375,2021-11-27,2
6387,2023-12-27,2
6392,2020-09-21,3
6393,2020-10-21,3
6394,2020-11-21,3
6395,2020-12-21,3
6396,2021-01-21,3
6397,2021-02-21,3
6398,2021-03-21,3
6399,2021-04-21,3
6388,2021-05-21,3
6400,2021-06-21,3
6389,2021-07-21,3
6401,2021-08-21,3
6390,2021-09-21,3
6402,2021-10-21,3
6391,2021-11-21,3
6403,2023-12-21,3
6404,2021-04-19,4
6405,2021-05-19,4
6406,2021-06-19,4
6407,2021-07-19,4
6408,2021-08-19,4
6409,2021-09-19,4
6410,2021-10-19,4
6411,2021-11-19,4
6412,2023-12-19,4
6413,2020-11-01,5
6414,2020-12-01,5
6415,2021-01-01,5
6416,2021-02-01,5
6417,2021-03-01,5
6418,2021-04-01,5
6419,2021-05-01,5
6420,2021-06-01,5
6421,2021-07-01,5
6422,2021-08-01,5
6423,2021-09-01,5
6424,2021-10-01,5
6425,2021-11-01,5
6426,2023-12-01,5
6430,2020-10-13,6
6431,2020-11-13,6
6432,2020-12-13,6
6433,2021-01-13,6
6434,2021-02-13,6
6435,2021-03-13,6
6436,2021-04-13,6
6437,2021-05-13,6
6438,2021-06-13,6
6427,2021-07-13,6
6439,2021-08-13,6
6428,2021-09-13,6
6440,2021-10-13,6
6429,2021-11-13,6
6441,2023-12-13,6
6442,2020-06-10,7
6443,2020-07-10,7
6444,2020-08-10,7
6445,2020-09-10,7
6446,2020-10-10,7
6447,2020-11-10,7
6448,2020-12-10,7
6449,2021-01-10,7
6450,2021-02-10,7
6451,2021-03-10,7
6452,2021-04-10,7
6453,2021-05-10,7
6454,2021-06-10,7
6455,2023-07-10,7
6456,2020-05-06,8
6457,2020-06-06,8
6458,2020-07-06,8
6459,2020-08-06,8
6460,2020-09-06,8
6461,2020-10-06,8
6462,2020-11-06,8
6463,2020-12-06,8
6464,2021-01-06,8
6465,2021-02-06,8
6466,2021-03-06,8
6467,2023-04-06,8
6469,2021-01-30,9
6470,2021-02-28,9
6471,2021-03-28,9
6468,2023-04-28,9
6472,2021-01-04,10
6473,2021-02-04,10
6474,2021-03-04,10
6475,2021-04-04,10
6476,2021-05-04,10
6477,2021-06-04,10
6478,2021-07-04,10
6479,2021-08-04,10
6480,2021-09-04,10
6481,2021-10-04,10
6482,2021-11-04,10
6483,2023-12-04,10
6484,2020-10-02,11
6485,2020-11-02,11
6486,2020-12-02,11
6487,2021-01-02,11
6488,2021-02-02,11
6489,2021-03-02,11
6490,2021-04-02,11
6491,2021-05-02,11
6492,2021-06-02,11
6493,2021-07-02,11
6494,2021-08-02,11
6495,2021-09-02,11
6496,2021-10-02,11
6497,2021-11-02,11
6498,2023-12-02,11
6499,2021-06-20,12
6500,2021-07-20,12
6501,2021-08-20,12
6502,2021-09-20,12
6503,2021-10-20,12
6504,2021-11-20,12
6505,2023-12-20,12
6511,2020-08-18,13
6512,2020-09-18,13
6513,2020-10-18,13
6514,2020-11-18,13
6515,2020-12-18,13
6516,2021-01-18,13
6517,2021-02-18,13
6506,2021-03-18,13
6507,2021-04-18,13
6508,2021-05-18,13
6509,2021-06-18,13
6510,2023-07-18,13
6518,2021-05-21,14
6519,2021-06-21,14
6520,2021-07-21,14
6521,2021-08-21,14
6522,2021-09-21,14
6523,2021-10-21,14
6524,2021-11-21,14
6525,2023-12-21,14
6526,2020-05-05,15
6527,2020-06-05,15
6528,2020-07-05,15
6529,2020-08-05,15
